Unidades territoriales;Indicadores de renta media;Periodo;Total
04001 Abla;Renta media por persona ;2017;9.159
04001 Abla;Renta media por persona ;2016;8.639
04001 Abla;Renta media por persona ;2015;8.788
04001 Abla;Renta media por hogar;2017;20.172
04001 Abla;Renta media por hogar;2016;19.716
04001 Abla;Renta media por hogar;2015;19.546
0400101 Abla distrito 01;Renta media por persona ;2017;9.159
0400101 Abla distrito 01;Renta media por persona ;2016;8.639
0400101 Abla distrito 01;Renta media por persona ;2015;8.788
0400101 Abla distrito 01;Renta media por hogar;2017;20.172
0400101 Abla distrito 01;Renta media por hogar;2016;19.716
0400101 Abla distrito 01;Renta media por hogar;2015;19.546
0400101001 Abla sección 01001;Renta media por persona ;2017;9.159
0400101001 Abla sección 01001;Renta media por persona ;2016;8.639
0400101001 Abla sección 01001;Renta media por persona ;2015;8.788
0400101001 Abla sección 01001;Renta media por hogar;2017;20.172
0400101001 Abla sección 01001;Renta media por hogar;2016;19.716
0400101001 Abla sección 01001;Renta media por hogar;2015;19.546
04002 Abrucena;Renta media por persona ;2017;8.827
04002 Abrucena;Renta media por persona ;2016;8.463
04002 Abrucena;Renta media por persona ;2015;8.107
04002 Abrucena;Renta media por hogar;2017;17.841
04002 Abrucena;Renta media por hogar;2016;17.713
04002 Abrucena;Renta media por hogar;2015;17.115
0400201 Abrucena distrito 01;Renta media por persona ;2017;8.827
0400201 Abrucena distrito 01;Renta media por persona ;2016;8.463
0400201 Abrucena distrito 01;Renta media por persona ;2015;8.107
0400201 Abrucena distrito 01;Renta media por hogar;2017;17.841
0400201 Abrucena distrito 01;Renta media por hogar;2016;17.713
0400201 Abrucena distrito 01;Renta media por hogar;2015;17.115
0400201001 Abrucena sección 01001;Renta media por persona ;2017;8.827
0400201001 Abrucena sección 01001;Renta media por persona ;2016;8.463
0400201001 Abrucena sección 01001;Renta media por persona ;2015;8.107
0400201001 Abrucena sección 01001;Renta media por hogar;2017;17.841
0400201001 Abrucena sección 01001;Renta media por hogar;2016;17.713
0400201001 Abrucena sección 01001;Renta media por hogar;2015;17.115
04003 Adra;Renta media por persona ;2017;7.529
04003 Adra;Renta media por persona ;2016;7.112
04003 Adra;Renta media por persona ;2015;6.826
04003 Adra;Renta media por hogar;2017;21.448
04003 Adra;Renta media por hogar;2016;20.603
04003 Adra;Renta media por hogar;2015;19.770
0400301 Adra distrito 01;Renta media por persona ;2017;8.212
0400301 Adra distrito 01;Renta media por persona ;2016;7.763
0400301 Adra distrito 01;Renta media por persona ;2015;7.495
0400301 Adra distrito 01;Renta media por hogar;2017;23.073
0400301 Adra distrito 01;Renta media por hogar;2016;22.146
0400301 Adra distrito 01;Renta media por hogar;2015;21.338
0400301001 Adra sección 01001;Renta media por persona ;2017;8.965
0400301001 Adra sección 01001;Renta media por persona ;2016;8.590
0400301001 Adra sección 01001;Renta media por persona ;2015;8.267
0400301001 Adra sección 01001;Renta media por hogar;2017;26.498
0400301001 Adra sección 01001;Renta media por hogar;2016;26.243
0400301001 Adra sección 01001;Renta media por hogar;2015;24.688
0400301002 Adra sección 01002;Renta media por persona ;2017;8.599
0400301002 Adra sección 01002;Renta media por persona ;2016;8.013
0400301002 Adra sección 01002;Renta media por persona ;2015;7.941
0400301002 Adra sección 01002;Renta media por hogar;2017;25.677
0400301002 Adra sección 01002;Renta media por hogar;2016;24.095
0400301002 Adra sección 01002;Renta media por hogar;2015;23.400
0400301003 Adra sección 01003;Renta media por persona ;2017;8.076
0400301003 Adra sección 01003;Renta media por persona ;2016;7.621
0400301003 Adra sección 01003;Renta media por persona ;2015;7.150
0400301003 Adra sección 01003;Renta media por hogar;2017;22.051
0400301003 Adra sección 01003;Renta media por hogar;2016;20.952
0400301003 Adra sección 01003;Renta media por hogar;2015;19.687
0400301004 Adra sección 01004;Renta media por persona ;2017;6.990
0400301004 Adra sección 01004;Renta media por persona ;2016;6.521
0400301004 Adra sección 01004;Renta media por persona ;2015;6.477
0400301004 Adra sección 01004;Renta media por hogar;2017;20.409
0400301004 Adra sección 01004;Renta media por hogar;2016;19.159
0400301004 Adra sección 01004;Renta media por hogar;2015;18.790
0400301005 Adra sección 01005;Renta media por persona ;2017;8.058
0400301005 Adra sección 01005;Renta media por persona ;2016;7.824
0400301005 Adra sección 01005;Renta media por persona ;2015;7.454
0400301005 Adra sección 01005;Renta media por hogar;2017;21.007
0400301005 Adra sección 01005;Renta media por hogar;2016;20.821
0400301005 Adra sección 01005;Renta media por hogar;2015;19.856
0400301006 Adra sección 01006;Renta media por persona ;2017;9.335
