Unidades territoriales;Indicadores de renta media;Periodo;Total
11001 Alcalá de los Gazules;Renta media por persona ;2017;7.633
11001 Alcalá de los Gazules;Renta media por persona ;2016;7.324
11001 Alcalá de los Gazules;Renta media por persona ;2015;7.018
11001 Alcalá de los Gazules;Renta media por hogar;2017;20.082
11001 Alcalá de los Gazules;Renta media por hogar;2016;19.468
11001 Alcalá de los Gazules;Renta media por hogar;2015;18.599
1100101 Alcalá de los Gazules distrito 01;Renta media por persona ;2017;7.147
1100101 Alcalá de los Gazules distrito 01;Renta media por persona ;2016;6.815
1100101 Alcalá de los Gazules distrito 01;Renta media por persona ;2015;6.542
1100101 Alcalá de los Gazules distrito 01;Renta media por hogar;2017;18.427
1100101 Alcalá de los Gazules distrito 01;Renta media por hogar;2016;17.717
1100101 Alcalá de los Gazules distrito 01;Renta media por hogar;2015;17.081
1100101001 Alcalá de los Gazules sección 01001;Renta media por persona ;2017;6.629
1100101001 Alcalá de los Gazules sección 01001;Renta media por persona ;2016;6.447
1100101001 Alcalá de los Gazules sección 01001;Renta media por persona ;2015;6.125
1100101001 Alcalá de los Gazules sección 01001;Renta media por hogar;2017;15.918
1100101001 Alcalá de los Gazules sección 01001;Renta media por hogar;2016;15.618
1100101001 Alcalá de los Gazules sección 01001;Renta media por hogar;2015;15.009
1100101002 Alcalá de los Gazules sección 01002;Renta media por persona ;2017;7.489
1100101002 Alcalá de los Gazules sección 01002;Renta media por persona ;2016;7.058
1100101002 Alcalá de los Gazules sección 01002;Renta media por persona ;2015;6.815
1100101002 Alcalá de los Gazules sección 01002;Renta media por hogar;2017;20.289
1100101002 Alcalá de los Gazules sección 01002;Renta media por hogar;2016;19.275
1100101002 Alcalá de los Gazules sección 01002;Renta media por hogar;2015;18.588
1100102 Alcalá de los Gazules distrito 02;Renta media por persona ;2017;8.057
1100102 Alcalá de los Gazules distrito 02;Renta media por persona ;2016;7.768
1100102 Alcalá de los Gazules distrito 02;Renta media por persona ;2015;7.434
1100102 Alcalá de los Gazules distrito 02;Renta media por hogar;2017;21.584
1100102 Alcalá de los Gazules distrito 02;Renta media por hogar;2016;21.064
1100102 Alcalá de los Gazules distrito 02;Renta media por hogar;2015;19.968
1100102001 Alcalá de los Gazules sección 02001;Renta media por persona ;2017;7.742
1100102001 Alcalá de los Gazules sección 02001;Renta media por persona ;2016;7.416
1100102001 Alcalá de los Gazules sección 02001;Renta media por persona ;2015;7.006
1100102001 Alcalá de los Gazules sección 02001;Renta media por hogar;2017;21.963
1100102001 Alcalá de los Gazules sección 02001;Renta media por hogar;2016;21.353
1100102001 Alcalá de los Gazules sección 02001;Renta media por hogar;2015;19.900
1100102002 Alcalá de los Gazules sección 02002;Renta media por persona ;2017;8.924
1100102002 Alcalá de los Gazules sección 02002;Renta media por persona ;2016;8.744
1100102002 Alcalá de los Gazules sección 02002;Renta media por persona ;2015;8.565
1100102002 Alcalá de los Gazules sección 02002;Renta media por hogar;2017;20.729
1100102002 Alcalá de los Gazules sección 02002;Renta media por hogar;2016;20.413
1100102002 Alcalá de los Gazules sección 02002;Renta media por hogar;2015;20.115
11002 Alcalá del Valle;Renta media por persona ;2017;7.042
11002 Alcalá del Valle;Renta media por persona ;2016;6.587
11002 Alcalá del Valle;Renta media por persona ;2015;6.415
11002 Alcalá del Valle;Renta media por hogar;2017;19.182
11002 Alcalá del Valle;Renta media por hogar;2016;18.051
11002 Alcalá del Valle;Renta media por hogar;2015;17.653
1100201 Alcalá del Valle distrito 01;Renta media por persona ;2017;7.042
1100201 Alcalá del Valle distrito 01;Renta media por persona ;2016;6.587
1100201 Alcalá del Valle distrito 01;Renta media por persona ;2015;6.415
1100201 Alcalá del Valle distrito 01;Renta media por hogar;2017;19.182
1100201 Alcalá del Valle distrito 01;Renta media por hogar;2016;18.051
1100201 Alcalá del Valle distrito 01;Renta media por hogar;2015;17.653
1100201001 Alcalá del Valle sección 01001;Renta media por persona ;2017;7.518
1100201001 Alcalá del Valle sección 01001;Renta media por persona ;2016;7.042
1100201001 Alcalá del Valle sección 01001;Renta media por persona ;2015;6.898
1100201001 Alcalá del Valle sección 01001;Renta media por hogar;2017;20.302
1100201001 Alcalá del Valle sección 01001;Renta media por hogar;2016;19.006
1100201001 Alcalá del Valle sección 01001;Renta media por hogar;2015;18.723
1100201002 Alcalá del Valle sección 01002;Renta media por persona ;2017;6.104
1100201002 Alcalá del Valle sección 01002;Renta media por persona ;2016;5.684
1100201002 Alcalá del Valle sección 01002;Renta media por persona ;2015;5.617
1100201002 Alcalá del Valle sección 01002;Renta media por hogar;2017;17.263
1100201002 Alcalá del Valle sección 01002;Renta media por hogar;2016;16.015
1100201002 Alcalá del Valle sección 01002;Renta media por hogar;2015;15.850
1100201003 Alcalá del Valle sección 01003;Renta media por persona ;2017;7.426
1100201003 Alcalá del Valle sección 01003;Renta media por persona ;2016;6.848
1100201003 Alcalá del Valle sección 01003;Renta media por persona ;2015;6.688
1100201003 Alcalá del Valle sección 01003;Renta media por hogar;2017;19.435
1100201003 Alcalá del Valle sección 01003;Renta media por hogar;2016;18.405
1100201003 Alcalá del Valle sección 01003;Renta media por hogar;2015;17.944
1100201004 Alcalá del Valle sección 01004;Renta media por persona ;2017;7.667
1100201004 Alcalá del Valle sección 01004;Renta media por persona ;2016;7.361
1100201004 Alcalá del Valle sección 01004;Renta media por persona ;2015;6.882
1100201004 Alcalá del Valle sección 01004;Renta media por hogar;2017;20.827
1100201004 Alcalá del Valle sección 01004;Renta media por hogar;2016;20.135
1100201004 Alcalá del Valle sección 01004;Renta media por hogar;2015;19.143
11003 Algar;Renta media por persona ;2017;8.142
11003 Algar;Renta media por persona ;2016;7.978
11003 Algar;Renta media por persona ;2015;7.798
11003 Algar;Renta media por hogar;2017;18.577
11003 Algar;Renta media por hogar;2016;18.243
11003 Algar;Renta media por hogar;2015;17.937
1100301 Algar distrito 01;Renta media por persona ;2017;8.142
1100301 Algar distrito 01;Renta media por persona ;2016;7.978
1100301 Algar distrito 01;Renta media por persona ;2015;7.798
1100301 Algar distrito 01;Renta media por hogar;2017;18.577
1100301 Algar distrito 01;Renta media por hogar;2016;18.243
1100301 Algar distrito 01;Renta media por hogar;2015;17.937
1100301001 Algar sección 01001;Renta media por persona ;2017;8.142
1100301001 Algar sección 01001;Renta media por persona ;2016;7.978
1100301001 Algar sección 01001;Renta media por persona ;2015;7.798
1100301001 Algar sección 01001;Renta media por hogar;2017;18.577
1100301001 Algar sección 01001;Renta media por hogar;2016;18.243
1100301001 Algar sección 01001;Renta media por hogar;2015;17.937
11004 Algeciras;Renta media por persona ;2017;9.792
11004 Algeciras;Renta media por persona ;2016;9.594
11004 Algeciras;Renta media por persona ;2015;9.390
11004 Algeciras;Renta media por hogar;2017;27.643
11004 Algeciras;Renta media por hogar;2016;26.997
11004 Algeciras;Renta media por hogar;2015;25.783
1100401 Algeciras distrito 01;Renta media por persona ;2017;10.974
1100401 Algeciras distrito 01;Renta media por persona ;2016;10.730
1100401 Algeciras distrito 01;Renta media por persona ;2015;10.572
1100401 Algeciras distrito 01;Renta media por hogar;2017;28.913
1100401 Algeciras distrito 01;Renta media por hogar;2016;28.124
1100401 Algeciras distrito 01;Renta media por hogar;2015;26.893
1100401001 Algeciras sección 01001;Renta media por persona ;2017;16.282
1100401001 Algeciras sección 01001;Renta media por persona ;2016;15.149
1100401001 Algeciras sección 01001;Renta media por persona ;2015;15.198
1100401001 Algeciras sección 01001;Renta media por hogar;2017;38.868
1100401001 Algeciras sección 01001;Renta media por hogar;2016;35.680
1100401001 Algeciras sección 01001;Renta media por hogar;2015;33.964
1100401002 Algeciras sección 01002;Renta media por persona ;2017;16.733
1100401002 Algeciras sección 01002;Renta media por persona ;2016;16.139
1100401002 Algeciras sección 01002;Renta media por persona ;2015;15.939
1100401002 Algeciras sección 01002;Renta media por hogar;2017;40.503
1100401002 Algeciras sección 01002;Renta media por hogar;2016;39.488
1100401002 Algeciras sección 01002;Renta media por hogar;2015;37.580
1100401003 Algeciras sección 01003;Renta media por persona ;2017;12.101
1100401003 Algeciras sección 01003;Renta media por persona ;2016;11.319
1100401003 Algeciras sección 01003;Renta media por persona ;2015;11.210
1100401003 Algeciras sección 01003;Renta media por hogar;2017;29.587
1100401003 Algeciras sección 01003;Renta media por hogar;2016;28.192
1100401003 Algeciras sección 01003;Renta media por hogar;2015;26.497
1100401004 Algeciras sección 01004;Renta media por persona ;2017;12.002
1100401004 Algeciras sección 01004;Renta media por persona ;2016;12.127
1100401004 Algeciras sección 01004;Renta media por persona ;2015;11.810
1100401004 Algeciras sección 01004;Renta media por hogar;2017;28.094
1100401004 Algeciras sección 01004;Renta media por hogar;2016;28.478
1100401004 Algeciras sección 01004;Renta media por hogar;2015;27.271
1100401005 Algeciras sección 01005;Renta media por persona ;2017;9.848
1100401005 Algeciras sección 01005;Renta media por persona ;2016;9.421
1100401005 Algeciras sección 01005;Renta media por persona ;2015;9.544
1100401005 Algeciras sección 01005;Renta media por hogar;2017;21.865
1100401005 Algeciras sección 01005;Renta media por hogar;2016;21.391
1100401005 Algeciras sección 01005;Renta media por hogar;2015;23.203
1100401006 Algeciras sección 01006;Renta media por persona ;2017;9.843
1100401006 Algeciras sección 01006;Renta media por persona ;2016;9.370
1100401006 Algeciras sección 01006;Renta media por persona ;2015;9.140
1100401006 Algeciras sección 01006;Renta media por hogar;2017;24.377
1100401006 Algeciras sección 01006;Renta media por hogar;2016;23.400
1100401006 Algeciras sección 01006;Renta media por hogar;2015;22.452
1100401007 Algeciras sección 01007;Renta media por persona ;2017;10.238
1100401007 Algeciras sección 01007;Renta media por persona ;2016;10.748
1100401007 Algeciras sección 01007;Renta media por persona ;2015;9.549
1100401007 Algeciras sección 01007;Renta media por hogar;2017;31.908
1100401007 Algeciras sección 01007;Renta media por hogar;2016;33.832
1100401007 Algeciras sección 01007;Renta media por hogar;2015;30.390
1100401008 Algeciras sección 01008;Renta media por persona ;2017;7.835
1100401008 Algeciras sección 01008;Renta media por persona ;2016;7.741
1100401008 Algeciras sección 01008;Renta media por persona ;2015;8.055
1100401008 Algeciras sección 01008;Renta media por hogar;2017;18.494
1100401008 Algeciras sección 01008;Renta media por hogar;2016;18.323
1100401008 Algeciras sección 01008;Renta media por hogar;2015;18.641
1100401009 Algeciras sección 01009;Renta media por persona ;2017;9.114
1100401009 Algeciras sección 01009;Renta media por persona ;2016;9.068
1100401009 Algeciras sección 01009;Renta media por persona ;2015;8.735
1100401009 Algeciras sección 01009;Renta media por hogar;2017;23.715
