Unidades territoriales;Indicadores de renta media;Periodo;Total
14001 Adamuz;Renta media por persona ;2017;8.364
14001 Adamuz;Renta media por persona ;2016;7.912
14001 Adamuz;Renta media por persona ;2015;7.250
14001 Adamuz;Renta media por hogar;2017;21.317
14001 Adamuz;Renta media por hogar;2016;20.589
14001 Adamuz;Renta media por hogar;2015;19.238
1400101 Adamuz distrito 01;Renta media por persona ;2017;8.364
1400101 Adamuz distrito 01;Renta media por persona ;2016;7.912
1400101 Adamuz distrito 01;Renta media por persona ;2015;7.250
1400101 Adamuz distrito 01;Renta media por hogar;2017;21.317
1400101 Adamuz distrito 01;Renta media por hogar;2016;20.589
1400101 Adamuz distrito 01;Renta media por hogar;2015;19.238
1400101001 Adamuz sección 01001;Renta media por persona ;2017;8.129
1400101001 Adamuz sección 01001;Renta media por persona ;2016;7.669
1400101001 Adamuz sección 01001;Renta media por persona ;2015;7.088
1400101001 Adamuz sección 01001;Renta media por hogar;2017;22.118
1400101001 Adamuz sección 01001;Renta media por hogar;2016;21.304
1400101001 Adamuz sección 01001;Renta media por hogar;2015;20.051
1400101002 Adamuz sección 01002;Renta media por persona ;2017;8.941
1400101002 Adamuz sección 01002;Renta media por persona ;2016;8.515
1400101002 Adamuz sección 01002;Renta media por persona ;2015;7.814
1400101002 Adamuz sección 01002;Renta media por hogar;2017;23.445
1400101002 Adamuz sección 01002;Renta media por hogar;2016;22.765
1400101002 Adamuz sección 01002;Renta media por hogar;2015;21.250
1400101003 Adamuz sección 01003;Renta media por persona ;2017;8.232
1400101003 Adamuz sección 01003;Renta media por persona ;2016;7.769
1400101003 Adamuz sección 01003;Renta media por persona ;2015;7.040
1400101003 Adamuz sección 01003;Renta media por hogar;2017;19.199
1400101003 Adamuz sección 01003;Renta media por hogar;2016;18.504
1400101003 Adamuz sección 01003;Renta media por hogar;2015;17.142
14002 Aguilar de la Frontera;Renta media por persona ;2017;7.820
14002 Aguilar de la Frontera;Renta media por persona ;2016;7.611
14002 Aguilar de la Frontera;Renta media por persona ;2015;7.253
14002 Aguilar de la Frontera;Renta media por hogar;2017;19.992
14002 Aguilar de la Frontera;Renta media por hogar;2016;19.546
14002 Aguilar de la Frontera;Renta media por hogar;2015;18.753
1400201 Aguilar de la Frontera distrito 01;Renta media por persona ;2017;8.496
1400201 Aguilar de la Frontera distrito 01;Renta media por persona ;2016;8.267
1400201 Aguilar de la Frontera distrito 01;Renta media por persona ;2015;7.801
1400201 Aguilar de la Frontera distrito 01;Renta media por hogar;2017;21.159
1400201 Aguilar de la Frontera distrito 01;Renta media por hogar;2016;20.959
1400201 Aguilar de la Frontera distrito 01;Renta media por hogar;2015;19.976
1400201001 Aguilar de la Frontera sección 01001;Renta media por persona ;2017;8.517
1400201001 Aguilar de la Frontera sección 01001;Renta media por persona ;2016;8.262
1400201001 Aguilar de la Frontera sección 01001;Renta media por persona ;2015;7.649
1400201001 Aguilar de la Frontera sección 01001;Renta media por hogar;2017;20.978
1400201001 Aguilar de la Frontera sección 01001;Renta media por hogar;2016;20.646
1400201001 Aguilar de la Frontera sección 01001;Renta media por hogar;2015;19.390
1400201002 Aguilar de la Frontera sección 01002;Renta media por persona ;2017;11.048
1400201002 Aguilar de la Frontera sección 01002;Renta media por persona ;2016;11.109
1400201002 Aguilar de la Frontera sección 01002;Renta media por persona ;2015;10.355
1400201002 Aguilar de la Frontera sección 01002;Renta media por hogar;2017;25.893
1400201002 Aguilar de la Frontera sección 01002;Renta media por hogar;2016;26.687
1400201002 Aguilar de la Frontera sección 01002;Renta media por hogar;2015;25.248
1400201003 Aguilar de la Frontera sección 01003;Renta media por persona ;2017;6.915
1400201003 Aguilar de la Frontera sección 01003;Renta media por persona ;2016;6.521
1400201003 Aguilar de la Frontera sección 01003;Renta media por persona ;2015;6.316
1400201003 Aguilar de la Frontera sección 01003;Renta media por hogar;2017;18.067
1400201003 Aguilar de la Frontera sección 01003;Renta media por hogar;2016;17.315
1400201003 Aguilar de la Frontera sección 01003;Renta media por hogar;2015;16.834
1400202 Aguilar de la Frontera distrito 02;Renta media por persona ;2017;7.542
1400202 Aguilar de la Frontera distrito 02;Renta media por persona ;2016;7.372
1400202 Aguilar de la Frontera distrito 02;Renta media por persona ;2015;7.057
1400202 Aguilar de la Frontera distrito 02;Renta media por hogar;2017;19.460
1400202 Aguilar de la Frontera distrito 02;Renta media por hogar;2016;18.941
1400202 Aguilar de la Frontera distrito 02;Renta media por hogar;2015;18.083
1400202001 Aguilar de la Frontera sección 02001;Renta media por persona ;2017;7.775
1400202001 Aguilar de la Frontera sección 02001;Renta media por persona ;2016;7.565
1400202001 Aguilar de la Frontera sección 02001;Renta media por persona ;2015;7.420
1400202001 Aguilar de la Frontera sección 02001;Renta media por hogar;2017;19.261
1400202001 Aguilar de la Frontera sección 02001;Renta media por hogar;2016;18.632
1400202001 Aguilar de la Frontera sección 02001;Renta media por hogar;2015;18.183
1400202002 Aguilar de la Frontera sección 02002;Renta media por persona ;2017;8.174
1400202002 Aguilar de la Frontera sección 02002;Renta media por persona ;2016;7.973
1400202002 Aguilar de la Frontera sección 02002;Renta media por persona ;2015;7.594
1400202002 Aguilar de la Frontera sección 02002;Renta media por hogar;2017;19.863
1400202002 Aguilar de la Frontera sección 02002;Renta media por hogar;2016;19.428
1400202002 Aguilar de la Frontera sección 02002;Renta media por hogar;2015;18.370
1400202003 Aguilar de la Frontera sección 02003;Renta media por persona ;2017;6.379
1400202003 Aguilar de la Frontera sección 02003;Renta media por persona ;2016;6.122
1400202003 Aguilar de la Frontera sección 02003;Renta media por persona ;2015;5.907
1400202003 Aguilar de la Frontera sección 02003;Renta media por hogar;2017;17.216
1400202003 Aguilar de la Frontera sección 02003;Renta media por hogar;2016;16.403
1400202003 Aguilar de la Frontera sección 02003;Renta media por hogar;2015;15.928
1400202004 Aguilar de la Frontera sección 02004;Renta media por persona ;2017;8.190
1400202004 Aguilar de la Frontera sección 02004;Renta media por persona ;2016;8.169
1400202004 Aguilar de la Frontera sección 02004;Renta media por persona ;2015;7.623
1400202004 Aguilar de la Frontera sección 02004;Renta media por hogar;2017;21.880
1400202004 Aguilar de la Frontera sección 02004;Renta media por hogar;2016;21.723
1400202004 Aguilar de la Frontera sección 02004;Renta media por hogar;2015;20.162
1400203 Aguilar de la Frontera distrito 03;Renta media por persona ;2017;7.648
1400203 Aguilar de la Frontera distrito 03;Renta media por persona ;2016;7.416
1400203 Aguilar de la Frontera distrito 03;Renta media por persona ;2015;7.085
1400203 Aguilar de la Frontera distrito 03;Renta media por hogar;2017;19.706
1400203 Aguilar de la Frontera distrito 03;Renta media por hogar;2016;19.174
1400203 Aguilar de la Frontera distrito 03;Renta media por hogar;2015;18.529
1400203001 Aguilar de la Frontera sección 03001;Renta media por persona ;2017;7.428
1400203001 Aguilar de la Frontera sección 03001;Renta media por persona ;2016;6.885
1400203001 Aguilar de la Frontera sección 03001;Renta media por persona ;2015;6.468
1400203001 Aguilar de la Frontera sección 03001;Renta media por hogar;2017;18.247
1400203001 Aguilar de la Frontera sección 03001;Renta media por hogar;2016;18.214
1400203001 Aguilar de la Frontera sección 03001;Renta media por hogar;2015;17.279
1400203002 Aguilar de la Frontera sección 03002;Renta media por persona ;2017;8.507
1400203002 Aguilar de la Frontera sección 03002;Renta media por persona ;2016;8.286
1400203002 Aguilar de la Frontera sección 03002;Renta media por persona ;2015;7.926
1400203002 Aguilar de la Frontera sección 03002;Renta media por hogar;2017;21.465
1400203002 Aguilar de la Frontera sección 03002;Renta media por hogar;2016;20.871
