Unidades territoriales;Indicadores de renta media;Periodo;Total
18001 Agrón;Renta media por persona ;2017;8.319
18001 Agrón;Renta media por persona ;2016;8.113
18001 Agrón;Renta media por persona ;2015;8.360
18001 Agrón;Renta media por hogar;2017;18.036
18001 Agrón;Renta media por hogar;2016;17.848
18001 Agrón;Renta media por hogar;2015;19.156
1800101 Agrón distrito 01;Renta media por persona ;2017;8.319
1800101 Agrón distrito 01;Renta media por persona ;2016;8.113
1800101 Agrón distrito 01;Renta media por persona ;2015;8.360
1800101 Agrón distrito 01;Renta media por hogar;2017;18.036
1800101 Agrón distrito 01;Renta media por hogar;2016;17.848
1800101 Agrón distrito 01;Renta media por hogar;2015;19.156
1800101001 Agrón sección 01001;Renta media por persona ;2017;8.319
1800101001 Agrón sección 01001;Renta media por persona ;2016;8.113
1800101001 Agrón sección 01001;Renta media por persona ;2015;8.360
1800101001 Agrón sección 01001;Renta media por hogar;2017;18.036
1800101001 Agrón sección 01001;Renta media por hogar;2016;17.848
1800101001 Agrón sección 01001;Renta media por hogar;2015;19.156
18002 Alamedilla;Renta media por persona ;2017;8.753
18002 Alamedilla;Renta media por persona ;2016;8.338
18002 Alamedilla;Renta media por persona ;2015;8.006
18002 Alamedilla;Renta media por hogar;2017;18.338
18002 Alamedilla;Renta media por hogar;2016;17.524
18002 Alamedilla;Renta media por hogar;2015;17.407
1800201 Alamedilla distrito 01;Renta media por persona ;2017;8.753
1800201 Alamedilla distrito 01;Renta media por persona ;2016;8.338
1800201 Alamedilla distrito 01;Renta media por persona ;2015;8.006
1800201 Alamedilla distrito 01;Renta media por hogar;2017;18.338
1800201 Alamedilla distrito 01;Renta media por hogar;2016;17.524
1800201 Alamedilla distrito 01;Renta media por hogar;2015;17.407
1800201001 Alamedilla sección 01001;Renta media por persona ;2017;8.753
1800201001 Alamedilla sección 01001;Renta media por persona ;2016;8.338
1800201001 Alamedilla sección 01001;Renta media por persona ;2015;8.006
1800201001 Alamedilla sección 01001;Renta media por hogar;2017;18.338
1800201001 Alamedilla sección 01001;Renta media por hogar;2016;17.524
1800201001 Alamedilla sección 01001;Renta media por hogar;2015;17.407
18003 Albolote;Renta media por persona ;2017;9.662
18003 Albolote;Renta media por persona ;2016;9.317
18003 Albolote;Renta media por persona ;2015;9.044
18003 Albolote;Renta media por hogar;2017;27.514
18003 Albolote;Renta media por hogar;2016;26.875
18003 Albolote;Renta media por hogar;2015;26.159
1800301 Albolote distrito 01;Renta media por persona ;2017;9.662
1800301 Albolote distrito 01;Renta media por persona ;2016;9.317
1800301 Albolote distrito 01;Renta media por persona ;2015;9.044
1800301 Albolote distrito 01;Renta media por hogar;2017;27.514
1800301 Albolote distrito 01;Renta media por hogar;2016;26.875
1800301 Albolote distrito 01;Renta media por hogar;2015;26.159
1800301001 Albolote sección 01001;Renta media por persona ;2017;8.887
1800301001 Albolote sección 01001;Renta media por persona ;2016;8.416
1800301001 Albolote sección 01001;Renta media por persona ;2015;8.138
1800301001 Albolote sección 01001;Renta media por hogar;2017;25.619
1800301001 Albolote sección 01001;Renta media por hogar;2016;25.049
1800301001 Albolote sección 01001;Renta media por hogar;2015;24.069
