Municipios;Sexo;Periodo;Total
21 Huelva;Total;2019;521.870
21 Huelva;Total;2018;""
21 Huelva;Total;2017;""
21 Huelva;Total;2016;""
21 Huelva;Total;2015;""
21 Huelva;Total;2014;""
21 Huelva;Total;2013;""
21 Huelva;Total;2012;""
21 Huelva;Total;2011;""
21 Huelva;Total;2010;""
21 Huelva;Total;2009;""
21 Huelva;Total;2008;""
21 Huelva;Total;2007;""
21 Huelva;Total;2006;""
21 Huelva;Total;2005;""
21 Huelva;Total;2004;""
21 Huelva;Total;2003;""
21 Huelva;Total;2002;""
21 Huelva;Total;2001;""
21 Huelva;Total;2000;""
21 Huelva;Total;1999;""
21 Huelva;Total;1998;""
21 Huelva;Total;1997;""
21 Huelva;Total;1996;""
21 Huelva;Hombres;2019;258.413
21 Huelva;Hombres;2018;257.713
21 Huelva;Hombres;2017;257.613
21 Huelva;Hombres;2016;257.571
21 Huelva;Hombres;2015;257.699
21 Huelva;Hombres;2014;257.542
21 Huelva;Hombres;2013;258.387
21 Huelva;Hombres;2012;259.370
21 Huelva;Hombres;2011;259.362
21 Huelva;Hombres;2010;257.716
21 Huelva;Hombres;2009;255.144
21 Huelva;Hombres;2008;252.394
21 Huelva;Hombres;2007;248.151
21 Huelva;Hombres;2006;246.056
21 Huelva;Hombres;2005;241.142
21 Huelva;Hombres;2004;237.146
21 Huelva;Hombres;2003;234.902
21 Huelva;Hombres;2002;230.999
21 Huelva;Hombres;2001;228.771
21 Huelva;Hombres;2000;227.014
21 Huelva;Hombres;1999;226.227
21 Huelva;Hombres;1998;224.433
21 Huelva;Hombres;1997;""
21 Huelva;Hombres;1996;224.776
21 Huelva;Mujeres;2019;263.457
21 Huelva;Mujeres;2018;262.219
21 Huelva;Mujeres;2017;261.317
21 Huelva;Mujeres;2016;262.025
21 Huelva;Mujeres;2015;262.318
21 Huelva;Mujeres;2014;261.687
21 Huelva;Mujeres;2013;262.281
21 Huelva;Mujeres;2012;263.492
21 Huelva;Mujeres;2011;262.606
21 Huelva;Mujeres;2010;260.365
21 Huelva;Mujeres;2009;258.259
21 Huelva;Mujeres;2008;255.521
21 Huelva;Mujeres;2007;249.520
21 Huelva;Mujeres;2006;246.118
21 Huelva;Mujeres;2005;242.650
21 Huelva;Mujeres;2004;239.561
21 Huelva;Mujeres;2003;237.544
21 Huelva;Mujeres;2002;233.935
21 Huelva;Mujeres;2001;232.959
21 Huelva;Mujeres;2000;231.984
21 Huelva;Mujeres;1999;231.280
21 Huelva;Mujeres;1998;229.525
21 Huelva;Mujeres;1997;""
21 Huelva;Mujeres;1996;229.959
21001 Alájar;Total;2019;756
21001 Alájar;Total;2018;""
21001 Alájar;Total;2017;""
21001 Alájar;Total;2016;""
21001 Alájar;Total;2015;""
21001 Alájar;Total;2014;""
21001 Alájar;Total;2013;""
21001 Alájar;Total;2012;""
21001 Alájar;Total;2011;""
21001 Alájar;Total;2010;""
21001 Alájar;Total;2009;""
21001 Alájar;Total;2008;""
21001 Alájar;Total;2007;""
21001 Alájar;Total;2006;""
21001 Alájar;Total;2005;""
21001 Alájar;Total;2004;""
21001 Alájar;Total;2003;""
21001 Alájar;Total;2002;""
21001 Alájar;Total;2001;""
21001 Alájar;Total;2000;""
21001 Alájar;Total;1999;""
21001 Alájar;Total;1998;""
21001 Alájar;Total;1997;""
21001 Alájar;Total;1996;""
21001 Alájar;Hombres;2019;386
21001 Alájar;Hombres;2018;385
21001 Alájar;Hombres;2017;399
21001 Alájar;Hombres;2016;415
21001 Alájar;Hombres;2015;413
21001 Alájar;Hombres;2014;409
21001 Alájar;Hombres;2013;419
21001 Alájar;Hombres;2012;411
21001 Alájar;Hombres;2011;407
21001 Alájar;Hombres;2010;402
21001 Alájar;Hombres;2009;410
21001 Alájar;Hombres;2008;407
21001 Alájar;Hombres;2007;414
21001 Alájar;Hombres;2006;423
21001 Alájar;Hombres;2005;402
21001 Alájar;Hombres;2004;392
21001 Alájar;Hombres;2003;404
21001 Alájar;Hombres;2002;403
21001 Alájar;Hombres;2001;408
21001 Alájar;Hombres;2000;392
21001 Alájar;Hombres;1999;400
21001 Alájar;Hombres;1998;391
21001 Alájar;Hombres;1997;""
21001 Alájar;Hombres;1996;406
21001 Alájar;Mujeres;2019;370
21001 Alájar;Mujeres;2018;378
21001 Alájar;Mujeres;2017;378
21001 Alájar;Mujeres;2016;399
21001 Alájar;Mujeres;2015;400
21001 Alájar;Mujeres;2014;389
21001 Alájar;Mujeres;2013;386
21001 Alájar;Mujeres;2012;392
21001 Alájar;Mujeres;2011;391
21001 Alájar;Mujeres;2010;404
21001 Alájar;Mujeres;2009;398
21001 Alájar;Mujeres;2008;395
21001 Alájar;Mujeres;2007;397
21001 Alájar;Mujeres;2006;398
21001 Alájar;Mujeres;2005;369
21001 Alájar;Mujeres;2004;358
21001 Alájar;Mujeres;2003;365
21001 Alájar;Mujeres;2002;378
21001 Alájar;Mujeres;2001;381
21001 Alájar;Mujeres;2000;384
21001 Alájar;Mujeres;1999;394
21001 Alájar;Mujeres;1998;383
21001 Alájar;Mujeres;1997;""
21001 Alájar;Mujeres;1996;398
21002 Aljaraque;Total;2019;21.260
21002 Aljaraque;Total;2018;""
21002 Aljaraque;Total;2017;""
21002 Aljaraque;Total;2016;""
21002 Aljaraque;Total;2015;""
21002 Aljaraque;Total;2014;""
21002 Aljaraque;Total;2013;""
21002 Aljaraque;Total;2012;""
21002 Aljaraque;Total;2011;""
21002 Aljaraque;Total;2010;""
21002 Aljaraque;Total;2009;""
21002 Aljaraque;Total;2008;""
21002 Aljaraque;Total;2007;""
21002 Aljaraque;Total;2006;""
21002 Aljaraque;Total;2005;""
21002 Aljaraque;Total;2004;""
