Unidades territoriales;Indicadores de renta media;Periodo;Total
21001 Alájar;Renta media por persona ;2017;6.986
21001 Alájar;Renta media por persona ;2016;6.673
21001 Alájar;Renta media por persona ;2015;6.067
21001 Alájar;Renta media por hogar;2017;16.034
21001 Alájar;Renta media por hogar;2016;15.646
21001 Alájar;Renta media por hogar;2015;14.729
2100101 Alájar distrito 01;Renta media por persona ;2017;6.986
2100101 Alájar distrito 01;Renta media por persona ;2016;6.673
2100101 Alájar distrito 01;Renta media por persona ;2015;6.067
2100101 Alájar distrito 01;Renta media por hogar;2017;16.034
2100101 Alájar distrito 01;Renta media por hogar;2016;15.646
2100101 Alájar distrito 01;Renta media por hogar;2015;14.729
2100101001 Alájar sección 01001;Renta media por persona ;2017;6.986
2100101001 Alájar sección 01001;Renta media por persona ;2016;6.673
2100101001 Alájar sección 01001;Renta media por persona ;2015;6.067
2100101001 Alájar sección 01001;Renta media por hogar;2017;16.034
2100101001 Alájar sección 01001;Renta media por hogar;2016;15.646
2100101001 Alájar sección 01001;Renta media por hogar;2015;14.729
21002 Aljaraque;Renta media por persona ;2017;11.242
21002 Aljaraque;Renta media por persona ;2016;11.003
21002 Aljaraque;Renta media por persona ;2015;10.749
21002 Aljaraque;Renta media por hogar;2017;33.609
21002 Aljaraque;Renta media por hogar;2016;33.048
21002 Aljaraque;Renta media por hogar;2015;32.385
2100201 Aljaraque distrito 01;Renta media por persona ;2017;9.375
2100201 Aljaraque distrito 01;Renta media por persona ;2016;9.079
2100201 Aljaraque distrito 01;Renta media por persona ;2015;8.826
2100201 Aljaraque distrito 01;Renta media por hogar;2017;27.482
2100201 Aljaraque distrito 01;Renta media por hogar;2016;26.732
2100201 Aljaraque distrito 01;Renta media por hogar;2015;26.163
2100201001 Aljaraque sección 01001;Renta media por persona ;2017;9.454
2100201001 Aljaraque sección 01001;Renta media por persona ;2016;9.080
2100201001 Aljaraque sección 01001;Renta media por persona ;2015;9.284
2100201001 Aljaraque sección 01001;Renta media por hogar;2017;24.511
2100201001 Aljaraque sección 01001;Renta media por hogar;2016;23.834
2100201001 Aljaraque sección 01001;Renta media por hogar;2015;24.290
2100201002 Aljaraque sección 01002;Renta media por persona ;2017;7.543
2100201002 Aljaraque sección 01002;Renta media por persona ;2016;7.006
2100201002 Aljaraque sección 01002;Renta media por persona ;2015;6.809
2100201002 Aljaraque sección 01002;Renta media por hogar;2017;20.450
2100201002 Aljaraque sección 01002;Renta media por hogar;2016;19.455
2100201002 Aljaraque sección 01002;Renta media por hogar;2015;19.185
2100201003 Aljaraque sección 01003;Renta media por persona ;2017;9.767
2100201003 Aljaraque sección 01003;Renta media por persona ;2016;9.680
2100201003 Aljaraque sección 01003;Renta media por persona ;2015;9.264
2100201003 Aljaraque sección 01003;Renta media por hogar;2017;27.991
2100201003 Aljaraque sección 01003;Renta media por hogar;2016;27.733
2100201003 Aljaraque sección 01003;Renta media por hogar;2015;26.789
2100201004 Aljaraque sección 01004;Renta media por persona ;2017;9.852
2100201004 Aljaraque sección 01004;Renta media por persona ;2016;9.643
2100201004 Aljaraque sección 01004;Renta media por persona ;2015;9.352
2100201004 Aljaraque sección 01004;Renta media por hogar;2017;29.436
2100201004 Aljaraque sección 01004;Renta media por hogar;2016;28.417
2100201004 Aljaraque sección 01004;Renta media por hogar;2015;27.701
2100201005 Aljaraque sección 01005;Renta media por persona ;2017;9.865
2100201005 Aljaraque sección 01005;Renta media por persona ;2016;9.668
2100201005 Aljaraque sección 01005;Renta media por persona ;2015;9.502
2100201005 Aljaraque sección 01005;Renta media por hogar;2017;32.500
2100201005 Aljaraque sección 01005;Renta media por hogar;2016;31.908
2100201005 Aljaraque sección 01005;Renta media por hogar;2015;31.258
2100201006 Aljaraque sección 01006;Renta media por persona ;2017;10.217
2100201006 Aljaraque sección 01006;Renta media por persona ;2016;9.878
2100201006 Aljaraque sección 01006;Renta media por persona ;2015;9.219
2100201006 Aljaraque sección 01006;Renta media por hogar;2017;31.143
2100201006 Aljaraque sección 01006;Renta media por hogar;2016;30.471
2100201006 Aljaraque sección 01006;Renta media por hogar;2015;28.894
2100202 Aljaraque distrito 02;Renta media por persona ;2017;13.354
2100202 Aljaraque distrito 02;Renta media por persona ;2016;13.211
2100202 Aljaraque distrito 02;Renta media por persona ;2015;12.984
2100202 Aljaraque distrito 02;Renta media por hogar;2017;40.840
2100202 Aljaraque distrito 02;Renta media por hogar;2016;40.618
2100202 Aljaraque distrito 02;Renta media por hogar;2015;39.875
2100202001 Aljaraque sección 02001;Renta media por persona ;2017;11.419
2100202001 Aljaraque sección 02001;Renta media por persona ;2016;11.145
2100202001 Aljaraque sección 02001;Renta media por persona ;2015;10.850
2100202001 Aljaraque sección 02001;Renta media por hogar;2017;35.288
2100202001 Aljaraque sección 02001;Renta media por hogar;2016;34.386
2100202001 Aljaraque sección 02001;Renta media por hogar;2015;33.532
2100202002 Aljaraque sección 02002;Renta media por persona ;2017;13.565
2100202002 Aljaraque sección 02002;Renta media por persona ;2016;13.630
2100202002 Aljaraque sección 02002;Renta media por persona ;2015;12.980
2100202002 Aljaraque sección 02002;Renta media por hogar;2017;41.941
2100202002 Aljaraque sección 02002;Renta media por hogar;2016;43.072
2100202002 Aljaraque sección 02002;Renta media por hogar;2015;40.825
2100202003 Aljaraque sección 02003;Renta media por persona ;2017;16.106
