Unidades territoriales;Indicadores de renta media;Periodo;Total
23001 Albanchez de Mágina;Renta media por persona ;2017;8.288
23001 Albanchez de Mágina;Renta media por persona ;2016;8.175
23001 Albanchez de Mágina;Renta media por persona ;2015;7.857
23001 Albanchez de Mágina;Renta media por hogar;2017;17.114
23001 Albanchez de Mágina;Renta media por hogar;2016;16.995
23001 Albanchez de Mágina;Renta media por hogar;2015;16.198
2300101 Albanchez de Mágina distrito 01;Renta media por persona ;2017;8.288
2300101 Albanchez de Mágina distrito 01;Renta media por persona ;2016;8.175
2300101 Albanchez de Mágina distrito 01;Renta media por persona ;2015;7.857
2300101 Albanchez de Mágina distrito 01;Renta media por hogar;2017;17.114
2300101 Albanchez de Mágina distrito 01;Renta media por hogar;2016;16.995
2300101 Albanchez de Mágina distrito 01;Renta media por hogar;2015;16.198
2300101001 Albanchez de Mágina sección 01001;Renta media por persona ;2017;8.288
2300101001 Albanchez de Mágina sección 01001;Renta media por persona ;2016;8.175
2300101001 Albanchez de Mágina sección 01001;Renta media por persona ;2015;7.857
2300101001 Albanchez de Mágina sección 01001;Renta media por hogar;2017;17.114
2300101001 Albanchez de Mágina sección 01001;Renta media por hogar;2016;16.995
2300101001 Albanchez de Mágina sección 01001;Renta media por hogar;2015;16.198
23002 Alcalá la Real;Renta media por persona ;2017;9.009
23002 Alcalá la Real;Renta media por persona ;2016;8.633
23002 Alcalá la Real;Renta media por persona ;2015;8.373
23002 Alcalá la Real;Renta media por hogar;2017;22.750
23002 Alcalá la Real;Renta media por hogar;2016;22.171
23002 Alcalá la Real;Renta media por hogar;2015;21.502
2300201 Alcalá la Real distrito 01;Renta media por persona ;2017;8.189
2300201 Alcalá la Real distrito 01;Renta media por persona ;2016;7.887
2300201 Alcalá la Real distrito 01;Renta media por persona ;2015;7.749
2300201 Alcalá la Real distrito 01;Renta media por hogar;2017;20.912
2300201 Alcalá la Real distrito 01;Renta media por hogar;2016;20.384
2300201 Alcalá la Real distrito 01;Renta media por hogar;2015;19.857
2300201001 Alcalá la Real sección 01001;Renta media por persona ;2017;7.436
2300201001 Alcalá la Real sección 01001;Renta media por persona ;2016;7.068
2300201001 Alcalá la Real sección 01001;Renta media por persona ;2015;6.824
