Unidades territoriales;Indicadores de renta media;Periodo;Total
29001 Alameda;Renta media por persona ;2017;7.289
29001 Alameda;Renta media por persona ;2016;6.966
29001 Alameda;Renta media por persona ;2015;6.856
29001 Alameda;Renta media por hogar;2017;19.911
29001 Alameda;Renta media por hogar;2016;19.181
29001 Alameda;Renta media por hogar;2015;18.950
2900101 Alameda distrito 01;Renta media por persona ;2017;7.289
2900101 Alameda distrito 01;Renta media por persona ;2016;6.966
2900101 Alameda distrito 01;Renta media por persona ;2015;6.856
2900101 Alameda distrito 01;Renta media por hogar;2017;19.911
2900101 Alameda distrito 01;Renta media por hogar;2016;19.181
2900101 Alameda distrito 01;Renta media por hogar;2015;18.950
2900101001 Alameda sección 01001;Renta media por persona ;2017;7.239
2900101001 Alameda sección 01001;Renta media por persona ;2016;6.802
2900101001 Alameda sección 01001;Renta media por persona ;2015;6.764
2900101001 Alameda sección 01001;Renta media por hogar;2017;19.791
2900101001 Alameda sección 01001;Renta media por hogar;2016;18.668
2900101001 Alameda sección 01001;Renta media por hogar;2015;18.608
2900101002 Alameda sección 01002;Renta media por persona ;2017;7.743
2900101002 Alameda sección 01002;Renta media por persona ;2016;7.580
2900101002 Alameda sección 01002;Renta media por persona ;2015;7.549
2900101002 Alameda sección 01002;Renta media por hogar;2017;20.210
2900101002 Alameda sección 01002;Renta media por hogar;2016;19.882
2900101002 Alameda sección 01002;Renta media por hogar;2015;20.065
2900101003 Alameda sección 01003;Renta media por persona ;2017;6.906
2900101003 Alameda sección 01003;Renta media por persona ;2016;6.686
2900101003 Alameda sección 01003;Renta media por persona ;2015;6.457
2900101003 Alameda sección 01003;Renta media por hogar;2017;17.973
2900101003 Alameda sección 01003;Renta media por hogar;2016;17.644
2900101003 Alameda sección 01003;Renta media por hogar;2015;16.963
2900101004 Alameda sección 01004;Renta media por persona ;2017;7.304
2900101004 Alameda sección 01004;Renta media por persona ;2016;6.923
2900101004 Alameda sección 01004;Renta media por persona ;2015;6.727
2900101004 Alameda sección 01004;Renta media por hogar;2017;22.005
2900101004 Alameda sección 01004;Renta media por hogar;2016;21.071
2900101004 Alameda sección 01004;Renta media por hogar;2015;20.599
29002 Alcaucín;Renta media por persona ;2017;7.363
29002 Alcaucín;Renta media por persona ;2016;6.411
29002 Alcaucín;Renta media por persona ;2015;7.115
29002 Alcaucín;Renta media por hogar;2017;16.921
29002 Alcaucín;Renta media por hogar;2016;15.645
29002 Alcaucín;Renta media por hogar;2015;16.687
2900201 Alcaucín distrito 01;Renta media por persona ;2017;7.363
2900201 Alcaucín distrito 01;Renta media por persona ;2016;6.411
2900201 Alcaucín distrito 01;Renta media por persona ;2015;7.115
2900201 Alcaucín distrito 01;Renta media por hogar;2017;16.921
2900201 Alcaucín distrito 01;Renta media por hogar;2016;15.645
2900201 Alcaucín distrito 01;Renta media por hogar;2015;16.687
2900201001 Alcaucín sección 01001;Renta media por persona ;2017;7.363
2900201001 Alcaucín sección 01001;Renta media por persona ;2016;6.411
2900201001 Alcaucín sección 01001;Renta media por persona ;2015;7.115
2900201001 Alcaucín sección 01001;Renta media por hogar;2017;16.921
2900201001 Alcaucín sección 01001;Renta media por hogar;2016;15.645
2900201001 Alcaucín sección 01001;Renta media por hogar;2015;16.687
29003 Alfarnate;Renta media por persona ;2017;8.994
29003 Alfarnate;Renta media por persona ;2016;9.137
29003 Alfarnate;Renta media por persona ;2015;8.563
29003 Alfarnate;Renta media por hogar;2017;18.755
29003 Alfarnate;Renta media por hogar;2016;19.213
29003 Alfarnate;Renta media por hogar;2015;18.123
2900301 Alfarnate distrito 01;Renta media por persona ;2017;8.994
2900301 Alfarnate distrito 01;Renta media por persona ;2016;9.137
2900301 Alfarnate distrito 01;Renta media por persona ;2015;8.563
2900301 Alfarnate distrito 01;Renta media por hogar;2017;18.755
2900301 Alfarnate distrito 01;Renta media por hogar;2016;19.213
2900301 Alfarnate distrito 01;Renta media por hogar;2015;18.123
2900301001 Alfarnate sección 01001;Renta media por persona ;2017;8.994
2900301001 Alfarnate sección 01001;Renta media por persona ;2016;9.137
