Unidades territoriales;Indicadores de renta media;Periodo;Total
41001 Aguadulce;Renta media por persona ;2017;7.986
41001 Aguadulce;Renta media por persona ;2016;7.662
41001 Aguadulce;Renta media por persona ;2015;7.857
41001 Aguadulce;Renta media por hogar;2017;18.942
41001 Aguadulce;Renta media por hogar;2016;18.519
41001 Aguadulce;Renta media por hogar;2015;18.870
4100101 Aguadulce distrito 01;Renta media por persona ;2017;8.855
4100101 Aguadulce distrito 01;Renta media por persona ;2016;8.550
4100101 Aguadulce distrito 01;Renta media por persona ;2015;8.818
4100101 Aguadulce distrito 01;Renta media por hogar;2017;20.718
4100101 Aguadulce distrito 01;Renta media por hogar;2016;20.557
4100101 Aguadulce distrito 01;Renta media por hogar;2015;20.457
4100101001 Aguadulce sección 01001;Renta media por persona ;2017;8.855
4100101001 Aguadulce sección 01001;Renta media por persona ;2016;8.550
4100101001 Aguadulce sección 01001;Renta media por persona ;2015;8.818
4100101001 Aguadulce sección 01001;Renta media por hogar;2017;20.718
4100101001 Aguadulce sección 01001;Renta media por hogar;2016;20.557
4100101001 Aguadulce sección 01001;Renta media por hogar;2015;20.457
4100102 Aguadulce distrito 02;Renta media por persona ;2017;7.330
4100102 Aguadulce distrito 02;Renta media por persona ;2016;6.989
4100102 Aguadulce distrito 02;Renta media por persona ;2015;7.142
4100102 Aguadulce distrito 02;Renta media por hogar;2017;17.570
4100102 Aguadulce distrito 02;Renta media por hogar;2016;16.961
4100102 Aguadulce distrito 02;Renta media por hogar;2015;17.614
4100102001 Aguadulce sección 02001;Renta media por persona ;2017;7.330
4100102001 Aguadulce sección 02001;Renta media por persona ;2016;6.989
4100102001 Aguadulce sección 02001;Renta media por persona ;2015;7.142
4100102001 Aguadulce sección 02001;Renta media por hogar;2017;17.570
4100102001 Aguadulce sección 02001;Renta media por hogar;2016;16.961
4100102001 Aguadulce sección 02001;Renta media por hogar;2015;17.614
41002 Alanís;Renta media por persona ;2017;7.338
41002 Alanís;Renta media por persona ;2016;7.002
41002 Alanís;Renta media por persona ;2015;6.778
41002 Alanís;Renta media por hogar;2017;17.389
41002 Alanís;Renta media por hogar;2016;16.972
41002 Alanís;Renta media por hogar;2015;16.540
4100201 Alanís distrito 01;Renta media por persona ;2017;7.338
4100201 Alanís distrito 01;Renta media por persona ;2016;7.002
4100201 Alanís distrito 01;Renta media por persona ;2015;6.778
4100201 Alanís distrito 01;Renta media por hogar;2017;17.389
4100201 Alanís distrito 01;Renta media por hogar;2016;16.972
4100201 Alanís distrito 01;Renta media por hogar;2015;16.540
4100201001 Alanís sección 01001;Renta media por persona ;2017;7.399
4100201001 Alanís sección 01001;Renta media por persona ;2016;7.267
4100201001 Alanís sección 01001;Renta media por persona ;2015;6.982
4100201001 Alanís sección 01001;Renta media por hogar;2017;16.969
4100201001 Alanís sección 01001;Renta media por hogar;2016;17.067
4100201001 Alanís sección 01001;Renta media por hogar;2015;16.127
4100201002 Alanís sección 01002;Renta media por persona ;2017;7.278
4100201002 Alanís sección 01002;Renta media por persona ;2016;6.746
4100201002 Alanís sección 01002;Renta media por persona ;2015;6.581
4100201002 Alanís sección 01002;Renta media por hogar;2017;17.829
4100201002 Alanís sección 01002;Renta media por hogar;2016;16.874
4100201002 Alanís sección 01002;Renta media por hogar;2015;16.985
41003 Albaida del Aljarafe;Renta media por persona ;2017;7.148
41003 Albaida del Aljarafe;Renta media por persona ;2016;6.848
41003 Albaida del Aljarafe;Renta media por persona ;2015;6.701
41003 Albaida del Aljarafe;Renta media por hogar;2017;20.922
41003 Albaida del Aljarafe;Renta media por hogar;2016;20.007
41003 Albaida del Aljarafe;Renta media por hogar;2015;19.583
4100301 Albaida del Aljarafe distrito 01;Renta media por persona ;2017;7.148
4100301 Albaida del Aljarafe distrito 01;Renta media por persona ;2016;6.848
4100301 Albaida del Aljarafe distrito 01;Renta media por persona ;2015;6.701
4100301 Albaida del Aljarafe distrito 01;Renta media por hogar;2017;20.922
4100301 Albaida del Aljarafe distrito 01;Renta media por hogar;2016;20.007
4100301 Albaida del Aljarafe distrito 01;Renta media por hogar;2015;19.583
4100301001 Albaida del Aljarafe sección 01001;Renta media por persona ;2017;7.659
4100301001 Albaida del Aljarafe sección 01001;Renta media por persona ;2016;7.344
4100301001 Albaida del Aljarafe sección 01001;Renta media por persona ;2015;7.233
4100301001 Albaida del Aljarafe sección 01001;Renta media por hogar;2017;22.427
4100301001 Albaida del Aljarafe sección 01001;Renta media por hogar;2016;21.576
4100301001 Albaida del Aljarafe sección 01001;Renta media por hogar;2015;21.404
4100301002 Albaida del Aljarafe sección 01002;Renta media por persona ;2017;6.685
4100301002 Albaida del Aljarafe sección 01002;Renta media por persona ;2016;6.383
4100301002 Albaida del Aljarafe sección 01002;Renta media por persona ;2015;6.197
4100301002 Albaida del Aljarafe sección 01002;Renta media por hogar;2017;19.562
4100301002 Albaida del Aljarafe sección 01002;Renta media por hogar;2016;18.550
4100301002 Albaida del Aljarafe sección 01002;Renta media por hogar;2015;17.899
41004 Alcalá de Guadaíra;Renta media por persona ;2017;8.946
41004 Alcalá de Guadaíra;Renta media por persona ;2016;8.547
41004 Alcalá de Guadaíra;Renta media por persona ;2015;8.332
41004 Alcalá de Guadaíra;Renta media por hogar;2017;25.450
41004 Alcalá de Guadaíra;Renta media por hogar;2016;24.481
41004 Alcalá de Guadaíra;Renta media por hogar;2015;23.916
4100401 Alcalá de Guadaíra distrito 01;Renta media por persona ;2017;10.371
4100401 Alcalá de Guadaíra distrito 01;Renta media por persona ;2016;10.149
4100401 Alcalá de Guadaíra distrito 01;Renta media por persona ;2015;9.902
4100401 Alcalá de Guadaíra distrito 01;Renta media por hogar;2017;28.551
4100401 Alcalá de Guadaíra distrito 01;Renta media por hogar;2016;28.316
4100401 Alcalá de Guadaíra distrito 01;Renta media por hogar;2015;27.562
4100401002 Alcalá de Guadaíra sección 01002;Renta media por persona ;2017;10.118
4100401002 Alcalá de Guadaíra sección 01002;Renta media por persona ;2016;9.815
4100401002 Alcalá de Guadaíra sección 01002;Renta media por persona ;2015;9.544
4100401002 Alcalá de Guadaíra sección 01002;Renta media por hogar;2017;29.373
4100401002 Alcalá de Guadaíra sección 01002;Renta media por hogar;2016;28.855
4100401002 Alcalá de Guadaíra sección 01002;Renta media por hogar;2015;27.949
4100401003 Alcalá de Guadaíra sección 01003;Renta media por persona ;2017;10.826
4100401003 Alcalá de Guadaíra sección 01003;Renta media por persona ;2016;10.752
4100401003 Alcalá de Guadaíra sección 01003;Renta media por persona ;2015;10.529
4100401003 Alcalá de Guadaíra sección 01003;Renta media por hogar;2017;27.271
4100401003 Alcalá de Guadaíra sección 01003;Renta media por hogar;2016;27.472
4100401003 Alcalá de Guadaíra sección 01003;Renta media por hogar;2015;26.971
4100402 Alcalá de Guadaíra distrito 02;Renta media por persona ;2017;8.620
4100402 Alcalá de Guadaíra distrito 02;Renta media por persona ;2016;8.349
4100402 Alcalá de Guadaíra distrito 02;Renta media por persona ;2015;8.183
4100402 Alcalá de Guadaíra distrito 02;Renta media por hogar;2017;24.359
4100402 Alcalá de Guadaíra distrito 02;Renta media por hogar;2016;23.813
4100402 Alcalá de Guadaíra distrito 02;Renta media por hogar;2015;23.596
4100402001 Alcalá de Guadaíra sección 02001;Renta media por persona ;2017;8.005
4100402001 Alcalá de Guadaíra sección 02001;Renta media por persona ;2016;7.764
4100402001 Alcalá de Guadaíra sección 02001;Renta media por persona ;2015;7.773
4100402001 Alcalá de Guadaíra sección 02001;Renta media por hogar;2017;22.001
4100402001 Alcalá de Guadaíra sección 02001;Renta media por hogar;2016;21.663
4100402001 Alcalá de Guadaíra sección 02001;Renta media por hogar;2015;21.630
4100402003 Alcalá de Guadaíra sección 02003;Renta media por persona ;2017;9.200
4100402003 Alcalá de Guadaíra sección 02003;Renta media por persona ;2016;9.303
4100402003 Alcalá de Guadaíra sección 02003;Renta media por persona ;2015;9.031
4100402003 Alcalá de Guadaíra sección 02003;Renta media por hogar;2017;26.620
4100402003 Alcalá de Guadaíra sección 02003;Renta media por hogar;2016;27.072
4100402003 Alcalá de Guadaíra sección 02003;Renta media por hogar;2015;26.261
4100402004 Alcalá de Guadaíra sección 02004;Renta media por persona ;2017;7.974
4100402004 Alcalá de Guadaíra sección 02004;Renta media por persona ;2016;7.533
4100402004 Alcalá de Guadaíra sección 02004;Renta media por persona ;2015;7.435
4100402004 Alcalá de Guadaíra sección 02004;Renta media por hogar;2017;22.238
4100402004 Alcalá de Guadaíra sección 02004;Renta media por hogar;2016;21.235
4100402004 Alcalá de Guadaíra sección 02004;Renta media por hogar;2015;21.462
4100402005 Alcalá de Guadaíra sección 02005;Renta media por persona ;2017;9.792
4100402005 Alcalá de Guadaíra sección 02005;Renta media por persona ;2016;9.343
4100402005 Alcalá de Guadaíra sección 02005;Renta media por persona ;2015;9.137
4100402005 Alcalá de Guadaíra sección 02005;Renta media por hogar;2017;26.597
4100402005 Alcalá de Guadaíra sección 02005;Renta media por hogar;2016;25.415
4100402005 Alcalá de Guadaíra sección 02005;Renta media por hogar;2015;25.358
4100402006 Alcalá de Guadaíra sección 02006;Renta media por persona ;2017;8.304
4100402006 Alcalá de Guadaíra sección 02006;Renta media por persona ;2016;7.989
4100402006 Alcalá de Guadaíra sección 02006;Renta media por persona ;2015;7.760
4100402006 Alcalá de Guadaíra sección 02006;Renta media por hogar;2017;24.503
4100402006 Alcalá de Guadaíra sección 02006;Renta media por hogar;2016;23.855
4100402006 Alcalá de Guadaíra sección 02006;Renta media por hogar;2015;23.474
4100403 Alcalá de Guadaíra distrito 03;Renta media por persona ;2017;8.825
4100403 Alcalá de Guadaíra distrito 03;Renta media por persona ;2016;8.542
4100403 Alcalá de Guadaíra distrito 03;Renta media por persona ;2015;8.381
4100403 Alcalá de Guadaíra distrito 03;Renta media por hogar;2017;23.752
4100403 Alcalá de Guadaíra distrito 03;Renta media por hogar;2016;23.026
4100403 Alcalá de Guadaíra distrito 03;Renta media por hogar;2015;22.634
4100403001 Alcalá de Guadaíra sección 03001;Renta media por persona ;2017;10.321
4100403001 Alcalá de Guadaíra sección 03001;Renta media por persona ;2016;10.217
4100403001 Alcalá de Guadaíra sección 03001;Renta media por persona ;2015;10.014
4100403001 Alcalá de Guadaíra sección 03001;Renta media por hogar;2017;27.918
4100403001 Alcalá de Guadaíra sección 03001;Renta media por hogar;2016;27.551
4100403001 Alcalá de Guadaíra sección 03001;Renta media por hogar;2015;27.011
4100403002 Alcalá de Guadaíra sección 03002;Renta media por persona ;2017;9.768
4100403002 Alcalá de Guadaíra sección 03002;Renta media por persona ;2016;9.294
4100403002 Alcalá de Guadaíra sección 03002;Renta media por persona ;2015;9.169
