"codigo_muni","Provincia","Municipio","RMEs","RMEs_IC95_inf","RMEs_IC95_sup","Probs","Rank"
"01001","Araba/Álava","Alegría-Dulantzi",85.8819883040936,74.89375,97.8575,0.0107212475633528,4178
"01002","Araba/Álava","Amurrio",95.107485380117,89.5625,100.7,0.0399610136452242,2388
"01003","Araba/Álava","Aramaio",85.1989376218324,75.7,96.59,0.00389863547758285,4319
"01004","Araba/Álava","Artziniega",95.1401754385965,82.65375,108.575,0.222222222222222,2379
"01006","Araba/Álava","Armiñón",84.9203021442495,67.40875,103.275,0.0487329434697856,4380
"01008","Araba/Álava","Arrazua-Ubarrundia",84.9496198830409,73.085,98.88125,0.0146198830409357,4376
"01009","Araba/Álava","Asparrena",88.8696686159844,78.95625,99.03625,0.0165692007797271,3544
"01010","Araba/Álava","Ayala/Aiara",93.901530214425,84.78625,103.2,0.0896686159844055,2586
"01011","Araba/Álava","Baños de Ebro/Mañueta",89.4593567251462,75.5025,104.875,0.087719298245614,3423
"01013","Araba/Álava","Barrundia",82.738440545809,71.5025,95.38875,0.00194931773879142,4841
"01014","Araba/Álava","Berantevilla",98.9381773879142,82.8775,117.3,0.429824561403509,1764
"01016","Araba/Álava","Bernedo",74.6800974658869,64.6025,84.69,0,6565
"01017","Araba/Álava","Campezo/Kanpezu",91.4732358674464,81.2475,102.3375,0.0672514619883041,3050
"01018","Araba/Álava","Zigoitia",82.6299122807018,72.09875,94.84625,0,4870
"01019","Araba/Álava","Kripan",90.4711208576998,74.10375,108.9375,0.153996101364522,3259
"01020","Araba/Álava","Kuartango",92.7773001949318,77.54625,108.5375,0.185185185185185,2796
"01021","Araba/Álava","Elburgo/Burgelu",88.4317056530214,73.1225,106.1,0.0916179337231969,3638
"01022","Araba/Álava","Elciego",90.7610428849902,78.64,103.0125,0.0692007797270955,3196
"01023","Araba/Álava","Elvillar/Bilar",79.8246686159844,65.72625,94.6,0.00779727095516569,5510
"01027","Araba/Álava","Iruraiz-Gauna",86.4631578947368,72.505,101.1375,0.0331384015594542,4039
"01028","Araba/Álava","Labastida/Bastida",80.7188791423002,70.965,91.42,0,5285
"01030","Araba/Álava","Lagrán",82.2046393762183,68.16625,97.1075,0.0126705653021442,4959
"01031","Araba/Álava","Laguardia",115.67962962963,103.6625,128.3,0.997076023391813,292
"01032","Araba/Álava","Lanciego/Lantziego",84.4394736842105,72.04375,96.5125,0.00779727095516569,4491
"01033","Araba/Álava","Lapuebla de Labarca",98.6554873294347,84.15375,114.0375,0.420077972709552,1802
"01034","Araba/Álava","Leza",91.6941520467836,76.0675,109.8,0.189083820662768,3004
"01036","Araba/Álava","Laudio/Llodio",93.8927680311891,89.81625,97.72375,0,2590
"01037","Araba/Álava","Arraia-Maeztu",82.0897173489279,71.88625,92.76875,0.00194931773879142,4985
"01039","Araba/Álava","Moreda de Álava",90.3175730994152,72.86125,110.5,0.151072124756335,3276
"01041","Araba/Álava","Navaridas",97.1305165692008,78.25125,116.975,0.376218323586745,2038
"01042","Araba/Álava","Okondo",93.2759649122807,80.6425,106.25,0.135477582846004,2688
"01043","Araba/Álava","Oyón-Oion",99.0134990253411,89.715,108.4375,0.423001949317739,1752
"01044","Araba/Álava","Peñacerrada-Urizaharra",82.6115399610136,68.58625,98.7525,0.0175438596491228,4871
"01046","Araba/Álava","Erriberagoitia/Ribera Alta",78.1404970760234,66.8175,90.61375,0.000974658869395711,5884
"01047","Araba/Álava","Ribera Baja/Erribera Beitia",89.4846978557505,75.36625,104.8375,0.0789473684210526,3413
"01049","Araba/Álava","Añana",88.7460136452242,70.66,108.5,0.108187134502924,3570
"01051","Araba/Álava","Salvatierra/Agurain",106.89037037037,97.96375,116.8375,0.933723196881092,819
"01052","Araba/Álava","Samaniego",133.428070175439,113.2875,155.875,1,21
"01053","Araba/Álava","San Millán/Donemiliaga",84.1076218323587,72.68625,97.405,0.00974658869395711,4559
"01054","Araba/Álava","Urkabustaiz",82.695477582846,71.83125,95.16875,0.00487329434697856,4852
"01055","Araba/Álava","Valdegovía/Gaubea",72.058216374269,63.5675,81.74875,0,7014
"01056","Araba/Álava","Harana/Valle de Arana",79.2746198830409,66.91875,94.005,0.00389863547758285,5634
"01057","Araba/Álava","Villabuena de Álava/Eskuernaga",104.877348927875,86.6875,123.0375,0.708576998050682,990
"01058","Araba/Álava","Legutio",92.710701754386,81.37375,105.4,0.113060428849903,2808
"01059","Araba/Álava","Vitoria-Gasteiz",92.1861695906433,91.03625,93.41,0,2912
"01060","Araba/Álava","Yécora/Iekora",91.0531286549708,74.0875,110.3125,0.164717348927875,3116
"01061","Araba/Álava","Zalduondo",83.549649122807,64.51375,105.6375,0.0662768031189084,4675
"01062","Araba/Álava","Zambrana",86.5297270955166,72.7225,101.4375,0.0399610136452242,4024
"01063","Araba/Álava","Zuia",88.1367446393762,78.965,98.2975,0.0107212475633528,3689
"01901","Araba/Álava","Iruña Oka/Iruña de Oca",101.752992202729,90.7375,112.9375,0.615009746588694,1362
"01902","Araba/Álava","Lantarón",76.6356432748538,65.99,87.65125,0,6196
"02001","Albacete","Abengibre",90.0107992202729,78.73625,102.0375,0.057504873294347,3329
"02002","Albacete","Alatoz",75.1790155945419,64.7875,86.0525,0,6455
"02003","Albacete","Albacete-Pozo Cañada",96.700701754386,95.08,98.32375,0,2110
"02004","Albacete","Albatana",87.6493859649123,76.65125,100.1375,0.0263157894736842,3792
"02005","Albacete","Alborea",84.5573781676413,74.06875,96.12125,0.00194931773879142,4459
"02006","Albacete","Alcadozo",80.1239961013645,69.1175,91.84,0.000974658869395711,5447
"02007","Albacete","Alcalá del Júcar",92.2608771929825,83.7725,101.0375,0.0409356725146199,2895
"02008","Albacete","Alcaraz",86.9630214424951,78.38625,95.75375,0.00194931773879142,3940
"02009","Albacete","Almansa",94.440701754386,90.79875,98.0675,0,2497
"02010","Albacete","Alpera",88.0436744639376,80.26875,97.195,0.00194931773879142,3712
"02011","Albacete","Ayna",78.4514619883041,69.79625,87.80375,0,5814
"02012","Albacete","Balazote",85.5890253411306,76.3625,95.44375,0.00194931773879142,4230
"02013","Albacete","Balsa de Ves",70.0257407407407,58.9825,82.055,0,7310
"02014","Albacete","Ballestero, El",95.5284210526316,80.9675,110.5,0.271929824561404,2299
"02015","Albacete","Barrax",104.385526315789,92.88875,116.3375,0.772904483430799,1042
"02016","Albacete","Bienservida",92.3107992202729,80.895,104.5,0.0974658869395711,2881
"02017","Albacete","Bogarra",85.9165692007797,76.92875,95.205,0.000974658869395711,4170
"02018","Albacete","Bonete",82.7500097465887,72.41625,93.08375,0.000974658869395711,4838
"02019","Albacete","Bonillo, El",103.102202729045,94.51375,111.5375,0.752436647173489,1195
"02020","Albacete","Carcelén",73.8987037037037,64.44,84.54375,0,6705
"02021","Albacete","Casas de Juan Núñez",80.8242105263158,70.37,91.5,0.000974658869395711,5261
"02022","Albacete","Casas de Lázaro",65.8558479532164,55.28375,76.115,0,7718
"02023","Albacete","Casas de Ves",84.1201949317739,75.00375,93.895,0.00194931773879142,4557
"02024","Albacete","Casas-Ibáñez",87.9183235867446,81.1925,94.9525,0.000974658869395711,3744
"02025","Albacete","Caudete",83.2256140350877,78.25625,88.03125,0,4740
"02026","Albacete","Cenizate",85.2813157894737,74.21625,97.01875,0.00584795321637427,4293
"02027","Albacete","Corral-Rubio",74.411783625731,62.99875,86.36,0,6619
"02028","Albacete","Cotillas",84.0491423001949,68.92125,101.1,0.0341130604288499,4566
"02029","Albacete","Chinchilla de Monte-Aragón",80.8478752436647,73.6425,88.31375,0,5251
"02030","Albacete","Elche de la Sierra",95.7143469785575,87.705,103.5,0.132553606237817,2273
"02031","Albacete","Férez",77.8606822612086,67.7875,87.84125,0,5931
"02032","Albacete","Fuensanta",84.997037037037,70.09,101.9125,0.0448343079922027,4368
"02033","Albacete","Fuente-Álamo",84.3264619883041,76.34875,93.16875,0,4519
"02034","Albacete","Fuentealbilla",92.8881676413255,83.52625,103.7375,0.0828460038986355,2776
"02035","Albacete","Gineta, La",96.3516276803119,86.72,106.9875,0.221247563352826,2169
"02036","Albacete","Golosalvo",84.3952436647173,66.90625,104.4,0.0555555555555556,4502
"02037","Albacete","Hellín",104.653333333333,101.1,108,0.996101364522417,1011
"02038","Albacete","Herrera, La",89.3459161793372,74.36125,106.9375,0.111111111111111,3437
"02039","Albacete","Higueruela",79.3239473684211,69.5,89.18375,0,5626
"02040","Albacete","Hoya-Gonzalo",81.1912768031189,69.03875,95.12875,0.00779727095516569,5181
"02041","Albacete","Jorquera",85.2786842105263,74.0625,97.88125,0.0087719298245614,4294
"02042","Albacete","Letur",85.1931968810916,75.845,94.6075,0.00292397660818713,4322
"02043","Albacete","Lezuza",89.2014230019493,79.97875,98.3675,0.00974658869395711,3467
"02044","Albacete","Liétor",87.4322807017544,78.37625,97.43875,0.00779727095516569,3837
"02045","Albacete","Madrigueras",89.6764035087719,82.885,96.08,0,3374
"02046","Albacete","Mahora",98.5186062378168,87.75625,109.775,0.381091617933723,1822
"02047","Albacete","Masegoso",79.3730214424951,64.465,98.475,0.0204678362573099,5615
"02048","Albacete","Minaya",85.4669395711501,77.59,94.34625,0.00194931773879142,4257
"02049","Albacete","Molinicos",78.5737816764133,70.41875,86.63,0,5783
"02050","Albacete","Montalvos",78.5725341130604,63.0325,96.09125,0.0087719298245614,5784
"02051","Albacete","Montealegre del Castillo",87.0081286549708,78.6475,95.7075,0.000974658869395711,3927
"02052","Albacete","Motilleja",89.3247953216374,75.33125,105.5375,0.0838206627680312,3439
"02053","Albacete","Munera",91.1900779727095,83.9625,98.615,0.0126705653021442,3091
"02054","Albacete","Navas de Jorquera",98.6242202729045,83.735,113.9,0.41812865497076,1806
"02055","Albacete","Nerpio",75.6300194931774,68.51875,83.7325,0,6374
"02056","Albacete","Ontur",86.3407115009746,77.29,95.3125,0.000974658869395711,4075
"02057","Albacete","Ossa de Montiel",101.446520467836,92.33625,111.5375,0.603313840155945,1405
"02058","Albacete","Paterna del Madera",87.2056920077973,74.64625,100.7375,0.0331384015594542,3880
"02059","Albacete","Peñascosa",86.7914230019493,73.7325,102.1,0.0360623781676413,3979
"02060","Albacete","Peñas de San Pedro",82.7232261208577,74.0325,91.87,0,4845
"02061","Albacete","Pétrola",73.8119590643275,64.03875,85.295,0,6716
"02062","Albacete","Povedilla",96.9473489278752,82.67125,111.6375,0.335282651072125,2070
"02063","Albacete","Pozohondo",85.5760331384016,77.59625,93.84875,0.000974658869395711,4234
"02064","Albacete","Pozo-Lorente",86.7837816764133,72.435,101.4,0.0350877192982456,3982
"02065","Albacete","Pozuelo",74.7069005847953,62.76,86.7375,0,6553
"02066","Albacete","Recueja, La",85.188216374269,72.22625,99.625,0.0194931773879142,4323
"02067","Albacete","Riópar",99.9281773879142,89.9425,110.9,0.478557504873294,1612
"02068","Albacete","Robledo",82.358216374269,68.82625,96.8075,0.0126705653021442,4932
"02069","Albacete","Roda, La",87.8622709551657,83.70125,92.065,0,3752
"02070","Albacete","Salobre",90.2104970760234,77.7175,103.5,0.0711500974658869,3294
"02071","Albacete","San Pedro",84.4382846003899,74.27875,95.9775,0.00292397660818713,4492
"02072","Albacete","Socovos",95.2821442495127,86.0275,104.6375,0.164717348927875,2345
"02073","Albacete","Tarazona de la Mancha",90.4308869395712,84.205,96.57875,0.000974658869395711,3265
"02074","Albacete","Tobarra",95.9876023391813,90.54875,101.5,0.0760233918128655,2227
"02075","Albacete","Valdeganga",89.7187231968811,81.21125,98.3125,0.0087719298245614,3369
"02076","Albacete","Vianos",81.7089473684211,69.5825,94.05875,0.000974658869395711,5076
"02077","Albacete","Villa de Ves",74.500828460039,59.27875,92.3875,0.00292397660818713,6596
"02078","Albacete","Villalgordo del Júcar",79.8861403508772,70.0825,89.52,0,5496
"02079","Albacete","Villamalea",79.5694249512671,73.16,86.75875,0,5576
"02080","Albacete","Villapalacios",90.7743859649123,79.60625,103.7375,0.0672514619883041,3191
"02081","Albacete","Villarrobledo",99.4398050682261,95.70875,103.2,0.375243664717349,1685
"02082","Albacete","Villatoya",77.92977582846,62.5175,94.95125,0.00779727095516569,5918
"02083","Albacete","Villavaliente",76.3284892787524,63.0125,92.47125,0,6259
"02084","Albacete","Villaverde de Guadalimar",89.7634307992203,77.1875,103.775,0.0799220272904483,3360
"02085","Albacete","Viveros",92.1541033138402,78.05125,108.3,0.15009746588694,2921
