,codigo_m,nombre_u,cambio_pob,hab 2013,hab 2018,renta_media_hogar,renta_media_persona,RMEs,probs_mort,rank_mort,parados,tasa_paro,deuda,id,nombre_m,cod_mun,provincia
0,04001,Abla,-13.150492264416316,1422.0,1235.0,20172.0,9159.0,83.4921832358674,0.0,4692.0,87.0,0.07044534412955465,244.033,1.0,Abla,04001,AlmerÃ­a
1,04002,Abrucena,-11.470361816782141,1299.0,1150.0,17841.0,8827.0,89.2937426900585,0.0175438596491228,3445.0,79.0,0.06869565217391305,7.371,2.0,Abrucena,04002,AlmerÃ­a
2,04003,Adra,0.39578369209644193,24761.0,24859.0,21448.0,7529.0,124.788304093567,1.0,62.0,1936.0,0.07787923890743795,14813.660679999999,4.0,Adra,04003,AlmerÃ­a
3,04004,Albanchez,16.203703703703702,648.0,753.0,17586.0,8763.0,94.3222514619883,0.192982456140351,2518.0,19.0,0.025232403718459494,45.193,13.0,Albanchez,04004,AlmerÃ­a
4,04005,Alboloduy,-3.7209302325581395,645.0,621.0,19348.0,8956.0,95.7919493177388,0.25633528265107197,2264.0,41.0,0.06602254428341385,0.0,15.0,Alboloduy,04005,AlmerÃ­a
5,04006,Albox,12.36430012489192,10409.0,11696.0,21465.0,7761.0,94.0472807017544,0.0146198830409357,2565.0,726.0,0.06207250341997264,20075.88237,18.0,Albox,04006,AlmerÃ­a
6,04007,Alcolea,-4.235294117647059,850.0,814.0,15100.0,7773.0,92.9923586744639,0.12378167641325499,2749.0,72.0,0.08845208845208845,30.7858,30.0,Alcolea,04007,AlmerÃ­a
7,04008,Alcóntar,-14.563106796116504,618.0,528.0,22729.0,10239.0,82.5217641325536,0.007797270955165691,4891.0,19.0,0.03598484848484849,118.24909,32.0,AlcÃ³ntar,04008,AlmerÃ­a
8,04009,Alcudia de Monteagud,-4.25531914893617,141.0,135.0,24666.0,12847.0,84.3394346978558,0.0399610136452242,4513.0,6.0,0.044444444444444446,18.964830000000003,33.0,Alcudia de Monteagud,04009,AlmerÃ­a
9,04010,Alhabia,-3.427719821162444,671.0,648.0,16343.0,7743.0,117.25992202728999,0.9766081871345029,236.0,68.0,0.10493827160493827,1989.792,46.0,Alhabia,04010,AlmerÃ­a
10,04011,Alhama de Almería,-5.242463958060288,3815.0,3615.0,19687.0,7923.0,124.90253411306001,1.0,60.0,329.0,0.09100968188105117,1992.13689,47.0,Alhama de AlmerÃ­a,04011,AlmerÃ­a
11,04012,Alicún,-13.114754098360656,244.0,212.0,17364.0,9104.0,106.12210526315799,0.6890838206627679,893.0,22.0,0.10377358490566038,154.17102,52.0,AlicÃºn,04012,AlmerÃ­a
12,04013,Almería,2.15571596859318,192697.0,196851.0,27090.0,9968.0,113.951559454191,1.0,375.0,17792.0,0.09038308162010861,90536.34372,61.0,AlmerÃ­a,04013,AlmerÃ­a
13,04014,Almócita,-0.5649717514124294,177.0,176.0,19069.0,9754.0,102.096306042885,0.565302144249513,1323.0,10.0,0.056818181818181816,5.58,62.0,AlmÃ³cita,04014,AlmerÃ­a
14,04015,Alsodux,-10.738255033557047,149.0,133.0,21503.0,11168.0,99.9594541910331,0.474658869395712,1611.0,8.0,0.06015037593984962,0.0,74.0,Alsodux,04015,AlmerÃ­a
15,04016,Antas,-3.619221411192214,3288.0,3169.0,22699.0,8491.0,104.804493177388,0.813840155945419,994.0,136.0,0.04291574629220574,1190.42664,77.0,Antas,04016,AlmerÃ­a
16,04017,Arboleas,-10.534529847834568,5126.0,4586.0,15481.0,6510.0,66.1533040935673,0.0,7695.0,128.0,0.027911033580462277,328.635,81.0,Arboleas,04017,AlmerÃ­a
17,04018,Armuña de Almanzora,-5.029585798816568,338.0,321.0,21998.0,10094.0,91.07526315789471,0.13255360623781698,3114.0,18.0,0.056074766355140186,0.0,91.0,ArmuÃ±a de Almanzora,04018,AlmerÃ­a
18,04019,Bacares,-15.018315018315018,273.0,232.0,20322.0,10856.0,95.80767056530209,0.291423001949318,2262.0,12.0,0.05172413793103448,76.29541,102.0,Bacares,04019,AlmerÃ­a
19,04020,Bayárcal,-18.155619596541786,347.0,284.0,18135.0,8785.0,90.59090643274851,0.120857699805068,3232.0,16.0,0.056338028169014086,0.0,110.0,BayÃ¡rcal,04020,AlmerÃ­a
20,04021,Bayarque,-4.62962962962963,216.0,206.0,21527.0,11190.0,79.77911306042891,0.0107212475633528,5523.0,10.0,0.04854368932038835,0.0,111.0,Bayarque,04021,AlmerÃ­a
21,04022,Bédar,-16.711590296495956,1113.0,927.0,14281.0,6903.0,91.60554580896691,0.10331384015594501,3023.0,40.0,0.043149946062567425,0.0,117.0,BÃ©dar,04022,AlmerÃ­a
